x,vx,ax,y,vy,ay,z,vz,az
0.000000,-56.143160,0.337647,0.000000,-251.816025,1.114165,686.653846,0.028293,2.320784
-1.871439,-56.131905,0.458026,-8.393867,-251.778886,1.661378,686.654789,0.105653,4.399039
-3.742127,-56.112624,0.433258,-16.785259,-251.705266,2.217016,686.660889,0.321562,8.125050
-5.612280,-56.103021,0.069720,-25.174219,-251.631085,2.279716,686.676226,0.647323,11.083752
-7.482328,-56.107976,-0.403116,-33.560665,-251.553285,2.417157,686.704044,1.060479,13.427079
-9.352812,-56.129895,-0.926228,-41.944438,-251.469941,2.601277,686.746925,1.542461,15.243635
-11.224321,-56.169725,-1.463336,-50.325327,-251.379866,2.812529,686.806875,2.076722,16.585423
-13.097460,-56.227451,-1.992507,-58.703095,-251.282439,3.036152,686.885373,2.648156,17.493238
-14.972818,-56.302559,-2.496110,-67.077490,-251.177456,3.259585,686.983419,3.242937,18.013716
-16.850964,-56.393858,-2.959861,-75.448259,-251.065133,3.472811,687.101569,3.849070,18.197094
-18.732409,-56.499883,-3.381080,-83.815166,-250.945936,3.670353,687.240023,4.456077,18.088985
-20.617623,-56.619264,-3.757368,-92.177988,-250.820443,3.848484,687.398641,5.055003,17.743321
-22.507026,-56.750374,-4.085330,-100.536528,-250.689370,4.004921,687.577024,5.638965,17.212819
-24.400981,-56.891619,-4.367509,-108.890613,-250.553448,4.140078,687.774572,6.202524,16.544199
-26.299801,-57.041541,-4.607581,-117.240092,-250.413365,4.255473,687.990525,6.741912,15.781850
-28.203751,-57.198791,-4.809343,-125.584837,-250.269750,4.353119,688.224033,7.254647,14.959994
-30.113054,-57.362164,-4.979981,-133.924742,-250.123157,4.436409,688.474168,7.739245,14.116751
-32.027895,-57.530790,-5.126645,-142.259714,-249.973990,4.508710,688.739982,8.195764,13.284164
-33.948440,-57.703941,-5.251120,-150.589674,-249.822576,4.571405,689.020553,8.624856,12.469984
-35.874825,-57.880864,-5.359310,-158.914553,-249.669229,4.627152,689.314973,9.027096,11.689900
-37.807164,-58.061228,-5.463206,-167.234290,-249.514099,4.680454,689.622359,9.404182,10.974797
-39.745573,-58.245078,-5.564910,-175.548826,-249.357199,4.732386,689.941918,9.758750,10.326857
-41.690169,-58.432222,-5.661978,-183.858103,-249.198607,4.782384,690.272942,10.092639,9.732362
-43.641054,-58.622543,-5.760679,-192.162066,-249.038373,4.832538,690.614761,10.407574,9.198739
-45.598339,-58.816267,-5.865246,-200.460661,-248.876438,4.884274,690.966781,10.705889,8.730671
-47.562139,-59.013560,-5.974663,-208.753829,-248.712755,4.937324,691.328487,10.989618,8.319406
-49.532576,-59.214578,-6.089982,-217.041511,-248.547283,4.991994,691.699422,11.260516,7.959588
-51.509778,-59.419559,-6.211191,-225.323648,-248.379955,5.048290,692.079188,11.520258,7.645927
-53.493880,-59.628658,-6.336466,-233.600175,-248.210730,5.105655,692.467439,11.770244,7.370267
-55.485021,-59.841990,-6.465668,-241.871030,-248.039578,5.164005,692.863871,12.011609,7.126392
-57.483346,-60.059702,-6.597891,-250.136147,-247.866463,5.223048,693.268213,12.245337,6.908524
-59.489001,-60.281849,-6.730370,-258.395461,-247.691375,5.281963,693.680227,12.472177,6.709588
-61.502136,-60.508393,-6.861628,-266.648905,-247.514332,5.340284,694.099691,12.692643,6.524054
-63.522894,-60.739291,-6.991017,-274.896416,-247.335356,5.397766,694.526403,12.907114,6.347926
-65.551422,-60.974461,-7.117035,-283.137929,-247.154481,5.453943,694.960166,13.115838,6.177313
-67.587858,-61.213760,-7.238265,-291.373382,-246.971760,5.508387,695.400792,13.318935,6.008973
